,Unnamed: 0,geohash,datetime,latitude,longitude,advertiser_id,horizontal_accuracy,carrier,model,wifi_ssid,wifi_bssid,date,timediff,next_latitude,next_longitude,distance,speed,weights
5663,7,c25pnhv107,2018-04-08 00:00:00,46.25675,-119.2607,60670673-2052-f998-ba54-b7ad8a138844,4.32,55,Note 6,,,2018-04-08 00:00:00,3.0,46.25651,-119.260476,0.03176125228477711,38.113502741732525,0.3
5664,34,c25pnhtptq,2018-04-08 00:00:03,46.25651,-119.260476,60670673-2052-f998-ba54-b7ad8a138844,6.79,55,Note 6,,,2018-04-08 00:00:03,7.0,46.256265,-119.26018,0.03549756741567073,42.59708089880487,0.7
5666,90,c25pnhtsjk,2018-04-08 00:00:10,46.2559,-119.259797,60670673-2052-f998-ba54-b7ad8a138844,6.82,55,Note 6,,,2018-04-08 00:00:10,8.0,46.25524,-119.259043,0.09352305763762973,42.08537593693338,1.0
785,154,c25pp066gd,2018-04-08 00:00:18,46.23233,-119.220384,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,7.39,55,Note 6,,,2018-04-08 00:00:18,12.0,46.23231,-119.2196,0.06034434689045079,36.206608134270475,1.0
5668,248,c25pnhqczy,2018-04-08 00:00:30,46.254151,-119.257975,60670673-2052-f998-ba54-b7ad8a138844,3.21,55,Note 6,,,2018-04-08 00:00:30,25.0,46.2535,-119.257478,0.08185500394652895,49.11300236791737,1.0
787,469,c25pp0mcby,2018-04-08 00:00:55,46.232178,-119.2157,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,6.72,55,Note 6,,,2018-04-08 00:00:55,8.0,46.232148,-119.214842,0.06607970404205979,33.98384779305932,1.0
5670,537,c25pn78zr3,2018-04-08 00:01:03,46.250947,-119.255243,60670673-2052-f998-ba54-b7ad8a138844,1.27,55,Note 6,,,2018-04-08 00:01:03,12.0,46.250364,-119.254746,0.07525220431386553,45.15132258831932,1.0
789,644,c25pp0r94y,2018-04-08 00:01:15,46.232049,-119.213208,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,6.27,55,Note 6,,,2018-04-08 00:01:15,3.0,46.23202,-119.212831,0.029176825387754908,35.012190465305885,0.3
790,680,c25pp0rc59,2018-04-08 00:01:18,46.23202,-119.212831,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,6.56,55,Note 6,,,2018-04-08 00:01:18,23.0,46.231981,-119.212328,0.038932080128386594,35.03887211554793,2.3
5672,900,c25pn75675,2018-04-08 00:01:41,46.247351,-119.251992,60670673-2052-f998-ba54-b7ad8a138844,6.38,55,Note 6,,,2018-04-08 00:01:41,10.0,46.24707,-119.25173,0.03717795720744521,44.61354864893425,1.0
792,1002,c25pp24y5g,2018-04-08 00:01:51,46.231517,-119.208706,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,3.05,55,Note 6,,,2018-04-08 00:01:51,38.0,46.231349,-119.207712,0.0787063217242818,35.41784477592681,1.0
795,1381,c25pp2n33y,2018-04-08 00:02:29,46.23072,-119.203984,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,3.74,55,Note 6,,,2018-04-08 00:02:29,16.0,46.2306,-119.2033,0.05427884578907677,39.080768968135274,1.0
798,1559,c25nzrzz6r,2018-04-08 00:02:45,46.23038,-119.2019,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,3.47,55,Note 6,,,2018-04-08 00:02:45,17.0,46.23015,-119.200629,0.10105557485683861,33.07273358951082,1.0
5678,1735,c25pn98w2n,2018-04-08 00:03:02,46.239816,-119.244918,60670673-2052-f998-ba54-b7ad8a138844,5.25,55,Note 6,,,2018-04-08 00:03:02,12.0,46.2394,-119.244566,0.053596425803588844,48.23678322322996,1.0
801,1858,c25nzxf7yq,2018-04-08 00:03:14,46.229775,-119.1983,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,3.21,55,Note 6,,,2018-04-08 00:03:14,14.0,46.229628,-119.197523,0.06196264561814446,31.86650346076001,1.0
5681,2036,c25pn9632g,2018-04-08 00:03:28,46.23757,-119.242483,60670673-2052-f998-ba54-b7ad8a138844,4.79,55,Note 6,,,2018-04-08 00:03:28,22.0,46.236698,-119.241228,0.13681491478107652,41.04447443432295,1.0
5683,2290,c25pn95brq,2018-04-08 00:03:50,46.236038,-119.240136,60670673-2052-f998-ba54-b7ad8a138844,2.95,55,Note 6,,,2018-04-08 00:03:50,9.0,46.235535,-119.2391,0.09735209651223031,38.94083860489212,1.0
5684,2391,c25pn8utx8,2018-04-08 00:03:59,46.235535,-119.2391,60670673-2052-f998-ba54-b7ad8a138844,1.1,55,Note 6,,,2018-04-08 00:03:59,8.0,46.235106,-119.2381,0.09050523468369535,40.72735560766291,1.0
5685,2479,c25pn8v7nb,2018-04-08 00:04:07,46.235106,-119.2381,60670673-2052-f998-ba54-b7ad8a138844,6.31,55,Note 6,,,2018-04-08 00:04:07,29.0,46.23488,-119.237579,0.04730001854103797,34.056013349547335,2.9
5688,2811,c25pnb85br,2018-04-08 00:04:36,46.2339,-119.2346,60670673-2052-f998-ba54-b7ad8a138844,0.98,55,Note 6,,,2018-04-08 00:04:36,18.0,46.233476,-119.23241,0.17491879079972483,34.98375815994497,1.0
5689,3012,c25pnb99e2,2018-04-08 00:04:54,46.233476,-119.23241,60670673-2052-f998-ba54-b7ad8a138844,2.36,55,Note 6,,,2018-04-08 00:04:54,11.0,46.23336,-119.23192,0.03983493575204941,35.85144217684447,1.1
5691,3146,c25pnb6xg1,2018-04-08 00:05:05,46.233178,-119.231047,60670673-2052-f998-ba54-b7ad8a138844,6.31,55,Note 6,,,2018-04-08 00:05:05,7.0,46.233,-119.23017,0.07029951834324911,36.154038005099544,1.0
5692,3234,c25pnb7nxx,2018-04-08 00:05:12,46.233,-119.23017,60670673-2052-f998-ba54-b7ad8a138844,7.04,55,Note 6,,,2018-04-08 00:05:12,13.0,46.2329,-119.22979,0.03127205550140914,37.52646660169097,1.3
5695,3411,c25pnbkmmy,2018-04-08 00:05:25,46.232779,-119.228528,60670673-2052-f998-ba54-b7ad8a138844,2.83,55,Note 6,,,2018-04-08 00:05:25,18.0,46.2326,-119.227262,0.09939029496642067,35.78050618791144,1.0
809,3628,c25nzyevur,2018-04-08 00:05:43,46.223256,-119.185341,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,5.06,55,Note 6,,,2018-04-08 00:05:43,7.0,46.223254,-119.184459,0.06785278112610561,34.89571600771146,1.0
810,3716,c25nzystbz,2018-04-08 00:05:50,46.223254,-119.184459,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,1.14,55,Note 6,,,2018-04-08 00:05:50,9.0,46.223252,-119.1835,0.07377638963414372,37.94214324041677,1.0
5697,3813,c25pnbre68,2018-04-08 00:05:59,46.2324,-119.224206,60670673-2052-f998-ba54-b7ad8a138844,2.26,55,Note 6,,,2018-04-08 00:05:59,47.0,46.2323,-119.22318,0.0796968793052442,35.86359568735989,1.0
5699,4370,c25pp07fn6,2018-04-08 00:06:46,46.2322,-119.21821,60670673-2052-f998-ba54-b7ad8a138844,6.43,55,Note 6,,,2018-04-08 00:06:46,8.0,46.232228,-119.217191,0.07844093865003776,35.29842239251699,1.0
5700,4459,c25pp0kdnp,2018-04-08 00:06:54,46.232228,-119.217191,60670673-2052-f998-ba54-b7ad8a138844,7.57,55,Note 6,,,2018-04-08 00:06:54,3.0,46.232215,-119.2168,0.030109577047719487,36.131492457263384,0.3
5701,4493,c25pp0kfpj,2018-04-08 00:06:57,46.232215,-119.2168,60670673-2052-f998-ba54-b7ad8a138844,5.6,55,Note 6,,,2018-04-08 00:06:57,12.0,46.2321,-119.215278,0.11776512748617292,35.32953824585187,1.0
5702,4626,c25pp0q1d8,2018-04-08 00:07:09,46.2321,-119.215278,60670673-2052-f998-ba54-b7ad8a138844,2.21,55,Note 6,,,2018-04-08 00:07:09,14.0,46.232072,-119.213495,0.1371798776009402,35.27482566881319,1.0
5703,4809,c25pp0r3k4,2018-04-08 00:07:23,46.232072,-119.213495,60670673-2052-f998-ba54-b7ad8a138844,2.51,55,Note 6,,,2018-04-08 00:07:23,7.0,46.232002,-119.2126,0.06928016112507107,35.62979715003655,1.0
5704,4885,c25pp220cj,2018-04-08 00:07:30,46.232002,-119.2126,60670673-2052-f998-ba54-b7ad8a138844,1.61,55,Note 6,,,2018-04-08 00:07:30,9.0,46.23191,-119.211459,0.08835770693320875,35.3430827732835,1.0
5705,4984,c25pp22b7s,2018-04-08 00:07:39,46.23191,-119.211459,60670673-2052-f998-ba54-b7ad8a138844,5.1,55,Note 6,,,2018-04-08 00:07:39,15.0,46.23166,-119.209563,0.1484628361475977,35.63108067542345,1.0
5706,5150,c25pp24nzy,2018-04-08 00:07:54,46.23166,-119.209563,60670673-2052-f998-ba54-b7ad8a138844,1.54,55,Note 6,,,2018-04-08 00:07:54,26.0,46.231109,-119.206292,0.25895394420968143,35.85516150595589,1.0
5707,5446,c25pp2hesp,2018-04-08 00:08:20,46.231109,-119.206292,60670673-2052-f998-ba54-b7ad8a138844,3.63,55,Note 6,,,2018-04-08 00:08:20,6.0,46.230982,-119.20553,0.060289729936036165,36.1738379616217,1.0
5708,5524,c25pp2j4vz,2018-04-08 00:08:26,46.230982,-119.20553,60670673-2052-f998-ba54-b7ad8a138844,3.41,55,Note 6,,,2018-04-08 00:08:26,3.0,46.2309,-119.205159,0.029958294335584088,35.949953202700904,0.3
5709,5553,c25pp2j6w2,2018-04-08 00:08:29,46.2309,-119.205159,60670673-2052-f998-ba54-b7ad8a138844,6.48,55,Note 6,,,2018-04-08 00:08:29,10.0,46.230706,-119.203901,0.09914027988473822,35.690500758505756,1.0
5710,5666,c25pp2n37u,2018-04-08 00:08:39,46.230706,-119.203901,60670673-2052-f998-ba54-b7ad8a138844,7.77,55,Note 6,,,2018-04-08 00:08:39,9.0,46.230514,-119.202769,0.0896524768064449,35.86099072257796,1.0
5711,5780,c25pp2p0q0,2018-04-08 00:08:48,46.230514,-119.202769,60670673-2052-f998-ba54-b7ad8a138844,2.37,55,Note 6,,,2018-04-08 00:08:48,19.0,46.230111,-119.2003,0.19513145566786327,36.97227581075304,1.0
5712,6022,c25nzxbvzt,2018-04-08 00:09:07,46.230111,-119.2003,60670673-2052-f998-ba54-b7ad8a138844,5.85,55,Note 6,,,2018-04-08 00:09:07,16.0,46.229771,-119.198365,0.15356827738021878,34.552862410549224,1.0
5713,6206,c25nzxf7uv,2018-04-08 00:09:23,46.229771,-119.198365,60670673-2052-f998-ba54-b7ad8a138844,3.52,55,Note 6,,,2018-04-08 00:09:23,3.0,46.2297,-119.19798,0.03064895172761606,36.77874207313927,0.3
5714,6229,c25nzxfetb,2018-04-08 00:09:26,46.2297,-119.19798,60670673-2052-f998-ba54-b7ad8a138844,6.72,55,Note 6,,,2018-04-08 00:09:26,6.0,46.229579,-119.1972,0.061488719809873985,36.893231885924386,1.0
5715,6295,c25nzxg4zf,2018-04-08 00:09:32,46.229579,-119.1972,60670673-2052-f998-ba54-b7ad8a138844,5.92,55,Note 6,,,2018-04-08 00:09:32,12.0,46.229305,-119.195727,0.11733026738699512,35.19908021609854,1.0
5716,6445,c25nzxu34r,2018-04-08 00:09:44,46.229305,-119.195727,60670673-2052-f998-ba54-b7ad8a138844,5.95,55,Note 6,,,2018-04-08 00:09:44,6.0,46.229138,-119.19498,0.060386694830660795,36.23201689839647,1.0
5717,6512,c25nzxub5x,2018-04-08 00:09:50,46.229138,-119.19498,60670673-2052-f998-ba54-b7ad8a138844,2.24,55,Note 6,,,2018-04-08 00:09:50,7.0,46.228942,-119.1941,0.07111345169179467,36.57263229863726,1.0
5718,6589,c25nzxtx05,2018-04-08 00:09:57,46.228942,-119.1941,60670673-2052-f998-ba54-b7ad8a138844,3.5,55,Note 6,,,2018-04-08 00:09:57,27.0,46.227854,-119.1913,0.24703572231275595,32.93809630836746,1.0
5719,6907,c25nzxx8c2,2018-04-08 00:10:24,46.227854,-119.1913,60670673-2052-f998-ba54-b7ad8a138844,4.37,55,Note 6,,,2018-04-08 00:10:24,10.0,46.2266,-119.191537,0.14062521567543132,50.62507764315527,1.0
5720,7029,c25nzxr37y,2018-04-08 00:10:34,46.2266,-119.191537,60670673-2052-f998-ba54-b7ad8a138844,1.44,55,Note 6,,,2018-04-08 00:10:34,4.0,46.226,-119.191547,0.06672138711059573,60.04924839953616,1.0
5721,7058,c25nzxpmgw,2018-04-08 00:10:38,46.226,-119.191547,60670673-2052-f998-ba54-b7ad8a138844,4.34,55,Note 6,,,2018-04-08 00:10:38,7.0,46.2252,-119.1915,0.08902937923930354,45.78653789449896,1.0
5722,7165,c25nzxp3k9,2018-04-08 00:10:45,46.2252,-119.1915,60670673-2052-f998-ba54-b7ad8a138844,4.9,55,Note 6,,,2018-04-08 00:10:45,25.0,46.223229,-119.19043,0.23411315097338234,33.712293740167055,1.0
5723,7457,c25nzy8jvd,2018-04-08 00:11:10,46.223229,-119.19043,60670673-2052-f998-ba54-b7ad8a138844,2.1,55,Note 6,,,2018-04-08 00:11:10,4.0,46.223227,-119.1899,0.04077361211279406,36.69625090151465,0.4
5724,7497,c25nzy8tf4,2018-04-08 00:11:14,46.223227,-119.1899,60670673-2052-f998-ba54-b7ad8a138844,3.94,55,Note 6,,,2018-04-08 00:11:14,18.0,46.223263,-119.1876,0.1769848334106761,35.39696668213522,1.0
5725,7709,c25nzydnp8,2018-04-08 00:11:32,46.223263,-119.1876,60670673-2052-f998-ba54-b7ad8a138844,2.59,55,Note 6,,,2018-04-08 00:11:32,15.0,46.223257,-119.18571,0.1453996335511948,34.895912052286754,1.0
5726,7882,c25nzyetgx,2018-04-08 00:11:47,46.223257,-119.18571,60670673-2052-f998-ba54-b7ad8a138844,1.35,55,Note 6,,,2018-04-08 00:11:47,9.0,46.223254,-119.184567,0.08793187608864599,35.17275043545839,1.0
5727,7984,c25nzysmyr,2018-04-08 00:11:56,46.223254,-119.184567,60670673-2052-f998-ba54-b7ad8a138844,4.52,55,Note 6,,,2018-04-08 00:11:56,3.0,46.223253,-119.1841,0.03592655391464021,43.11186469756825,0.3
5728,8008,c25nzysvcn,2018-04-08 00:11:59,46.223253,-119.1841,60670673-2052-f998-ba54-b7ad8a138844,0.89,55,Note 6,,,2018-04-08 00:11:59,4.0,46.223252,-119.183674,0.03277239229100885,29.495153061907967,0.4
5729,8045,c25nzytjgn,2018-04-08 00:12:03,46.223252,-119.183674,60670673-2052-f998-ba54-b7ad8a138844,7.68,55,Note 6,,,2018-04-08 00:12:03,169.0,46.229141,-119.1949,1.08376922000176,23.08620823672388,1.0
813,9809,c25nzxubm8,2018-04-08 00:14:52,46.229141,-119.1949,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,4.34,55,Note 6,,,2018-04-08 00:14:52,5.0,46.229255,-119.1955,0.04786230414745042,34.460858986164304,0.5
814,9853,c25nzxu2zt,2018-04-08 00:14:57,46.229255,-119.1955,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,3.8,55,Note 6,,,2018-04-08 00:14:57,6.0,46.2293,-119.19611,0.04718834885022686,28.313009310136113,0.6
815,9912,c25nzxu11q,2018-04-08 00:15:03,46.2293,-119.19611,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,6.98,55,Note 6,,,2018-04-08 00:15:03,14.0,46.2296,-119.197542,0.11509204811801002,29.595098087488292,1.0
816,10058,c25nzxffzy,2018-04-08 00:15:17,46.2296,-119.197542,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,2.11,55,Note 6,,,2018-04-08 00:15:17,8.0,46.2297,-119.19836,0.06389656413068356,28.753453858807603,1.0
817,10116,c25nzxf7sb,2018-04-08 00:15:25,46.2297,-119.19836,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,4.03,55,Note 6,,,2018-04-08 00:15:25,14.0,46.230012,-119.199792,0.11548507740589985,29.696162761517105,1.0
818,10289,c25nzxcm7d,2018-04-08 00:15:39,46.230012,-119.199792,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,6.34,55,Note 6,,,2018-04-08 00:15:39,6.0,46.230115,-119.200406,0.048598112010511396,29.158867206306837,0.6
819,10347,c25nzxbvvn,2018-04-08 00:15:45,46.230115,-119.200406,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,2.35,55,Note 6,,,2018-04-08 00:15:45,11.0,46.230305,-119.201531,0.08907723597743718,29.152549956252166,1.0
820,10470,c25nzxbp51,2018-04-08 00:15:56,46.230305,-119.201531,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,1.53,55,Note 6,,,2018-04-08 00:15:56,29.0,46.2307,-119.20398,0.19342991992287398,29.014487988431096,1.0
5730,10759,c25nzynytm,2018-04-08 00:16:25,46.22063,-119.181169,60670673-2052-f998-ba54-b7ad8a138844,2.09,55,Note 6,,,2018-04-08 00:16:25,10.0,46.2206,-119.18112,0.005034119675134788,4.530707707621309,1.0
823,10855,c25pp2j4yp,2018-04-08 00:16:35,46.230979,-119.20552,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,1.54,55,Note 6,,,2018-04-08 00:16:35,24.0,46.231325,-119.20756,0.161562836973808,29.08131065528544,1.0
825,11083,c25pp25mku,2018-04-08 00:16:59,46.231394,-119.207975,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,1.27,55,Note 6,,,2018-04-08 00:16:59,30.0,46.231463,-119.20838,0.03208296333825504,28.874667004429536,3.0
829,11370,c25pp230jn,2018-04-08 00:17:29,46.231879,-119.211049,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,3.03,55,Note 6,,,2018-04-08 00:17:29,39.0,46.2319,-119.211359,0.023958669077993124,28.750402893591747,3.9
5738,11742,c25nzy9jzx,2018-04-08 00:18:08,46.223255,-119.188968,60670673-2052-f998-ba54-b7ad8a138844,5.33,55,Note 6,,,2018-04-08 00:18:08,14.0,46.223227,-119.19003,0.0817592552832977,32.703702113319075,1.0
832,11877,c25pp0m4j7,2018-04-08 00:18:22,46.232206,-119.216535,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,4.58,55,Note 6,,,2018-04-08 00:18:22,17.0,46.2322,-119.2168,0.020394026871633955,24.472832245960745,1.7
834,12038,c25pp07fkr,2018-04-08 00:18:39,46.232266,-119.218298,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,2.78,55,Note 6,,,2018-04-08 00:18:39,35.0,46.232284,-119.218816,0.039893498691096194,28.723319057589258,3.5
838,12369,c25pp03703,2018-04-08 00:19:14,46.232366,-119.2219,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,5.99,55,Note 6,,,2018-04-08 00:19:14,50.0,46.23239,-119.2236,0.13078687053197072,27.696043171476152,1.0
843,12863,c25pnbmkrj,2018-04-08 00:20:04,46.2326,-119.2271,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,1.6,55,Note 6,,,2018-04-08 00:20:04,12.0,46.232635,-119.227417,0.024691417868582234,29.62970144229868,1.2
845,12978,c25pnbkt61,2018-04-08 00:20:16,46.232752,-119.228343,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,5.84,55,Note 6,,,2018-04-08 00:20:16,37.0,46.232811,-119.22875,0.0319851623815531,28.78664614339779,3.7
5751,13311,c25pp2p0nz,2018-04-08 00:20:53,46.23051,-119.20274,60670673-2052-f998-ba54-b7ad8a138844,7.39,55,Note 6,,,2018-04-08 00:20:53,5.0,46.2306,-119.20332,0.045722245432624056,32.92001671148932,0.5
5752,13361,c25pp2nbc2,2018-04-08 00:20:58,46.2306,-119.20332,60670673-2052-f998-ba54-b7ad8a138844,2.28,55,Note 6,,,2018-04-08 00:20:58,19.0,46.230826,-119.20461,0.10235927653219332,33.49939959235417,1.0
849,13530,c25pnb85cx,2018-04-08 00:21:17,46.2339,-119.234554,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,1.03,55,Note 6,,,2018-04-08 00:21:17,4.0,46.23403,-119.2349,0.030285179215505997,27.256661293955396,0.4
850,13573,c25pn8xu9r,2018-04-08 00:21:21,46.23403,-119.2349,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,3.86,55,Note 6,,,2018-04-08 00:21:21,11.0,46.2342,-119.23565,0.06070447122958017,31.21944234664123,1.0
852,13678,c25pn8wyxc,2018-04-08 00:21:32,46.234339,-119.236,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,5.34,55,Note 6,,,2018-04-08 00:21:32,44.0,46.23447,-119.236449,0.03748102566398848,33.732923097589634,4.4
5758,14063,c25pp220k6,2018-04-08 00:22:16,46.2319,-119.21246,60670673-2052-f998-ba54-b7ad8a138844,3.1,55,Note 6,,,2018-04-08 00:22:16,15.0,46.232046,-119.2131,0.051835396717515414,31.101238030509247,1.0
858,14195,c25pn94vmw,2018-04-08 00:22:31,46.2369,-119.241584,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,6.78,55,Note 6,,,2018-04-08 00:22:31,3.0,46.237084,-119.2418,0.026355031566743764,31.626037880092515,0.3
859,14229,c25pn94y89,2018-04-08 00:22:34,46.237084,-119.2418,54aa7153-1546-ce0d-5dc9-aa9e8e371f00,7.58,55,Note 6,,,2018-04-08 00:22:34,16.0,46.2377,-119.2427,0.09738087154607995,31.87010341508071,1.0
